Age,Sex,Country,Unemployment Rate (%),Year,Month
25+,Female,Ireland,0.096,2014,04
25+,Total,Norway,0.027999999999999997,2014,10
25+,Male,Iceland,0.052000000000000005,2021,01
25+,Male,Iceland,0.049,2021,02
25+,Male,Iceland,0.048,2021,03
15-24,Male,Germany,0.076,2021,05
15-24,Female,Greece,0.44,2017,08
25+,Male,Iceland,0.045,2021,06
25+,Male,Iceland,0.032,2019,12
25+,Male,Iceland,0.034,2020,01
25+,Male,Iceland,0.037000000000000005,2020,02
25+,Male,Iceland,0.04,2020,03
25+,Male,Iceland,0.043,2020,04
25+,Male,Iceland,0.047,2020,05
25+,Male,Iceland,0.051,2020,06
25+,Male,Iceland,0.053,2020,07
25+,Male,Iceland,0.055,2020,08
25+,Male,Iceland,0.031,2023,01
25+,Male,Iceland,0.032,2023,02
25+,Male,Iceland,0.054000000000000006,2020,12
25+,Male,Iceland,0.023,2017,07
25+,Male,Iceland,0.024,2017,08
25+,Male,Iceland,0.024,2017,09
25+,Male,Iceland,0.025,2017,10
25+,Male,Iceland,0.025,2017,11
25+,Male,Iceland,0.025,2017,12
25+,Male,Iceland,0.025,2018,01
25+,Male,Iceland,0.025,2018,02
25+,Male,Iceland,0.024,2018,03
25+,Male,Iceland,0.024,2018,04
25+,Male,Iceland,0.024,2018,05
25+,Male,Iceland,0.024,2018,06
25+,Male,Iceland,0.024,2018,07
25+,Male,Iceland,0.024,2018,08
25+,Male,Iceland,0.024,2018,09
25+,Male,Iceland,0.024,2018,10
25+,Male,Iceland,0.025,2018,11
25+,Male,Iceland,0.026000000000000002,2018,12
25+,Male,Iceland,0.026000000000000002,2019,01
25+,Male,Iceland,0.027000000000000003,2019,02
25+,Male,Iceland,0.028999999999999998,2019,03
25+,Male,Iceland,0.028999999999999998,2019,04
25+,Male,Iceland,0.03,2019,05
25+,Male,Iceland,0.047,2021,04
25+,Male,Iceland,0.046,2021,05
25+,Male,Iceland,0.031,2019,11
25+,Male,Iceland,0.031,2023,03
25+,Male,Iceland,0.031,2023,04
25+,Male,Iceland,0.031,2023,05
25+,Male,Iceland,0.031,2023,06
25+,Male,Iceland,0.031,2023,07
25+,Male,Iceland,0.031,2023,08
25+,Male,Iceland,0.03,2023,09
25+,Male,Iceland,0.03,2023,10
25+,Male,Iceland,0.03,2023,11
25+,Male,Iceland,0.031,2023,12
25+,Male,Iceland,0.031,2024,01
25+,Male,Iceland,0.031,2024,02
25+,Male,Iceland,0.03,2024,03
25+,Male,Iceland,0.028999999999999998,2024,04
25+,Male,Iceland,0.028999999999999998,2024,05
25+,Male,Iceland,0.027999999999999997,2024,06
25+,Male,Iceland,0.027999999999999997,2024,07
25+,Male,Iceland,0.043,2014,01
25+,Male,Iceland,0.042,2014,02
25+,Male,Iceland,0.040999999999999995,2014,03
25+,Male,Iceland,0.04,2014,04
25+,Male,Iceland,0.039,2014,05
25+,Male,Iceland,0.038,2014,06
25+,Male,Iceland,0.037000000000000005,2014,07
25+,Male,Iceland,0.037000000000000005,2014,08
25+,Male,Iceland,0.036000000000000004,2014,09
25+,Male,Iceland,0.035,2014,10
25+,Male,Iceland,0.034,2014,11
25+,Male,Iceland,0.033,2014,12
25+,Male,Iceland,0.033,2015,01
25+,Male,Iceland,0.033,2015,02
25+,Male,Iceland,0.032,2015,03
25+,Male,Iceland,0.031,2015,04
25+,Male,Iceland,0.031,2015,05
25+,Male,Iceland,0.03,2015,06
25+,Male,Iceland,0.03,2015,07
25+,Male,Iceland,0.03,2015,08
25+,Male,Iceland,0.03,2015,09
25+,Male,Iceland,0.028999999999999998,2015,10
25+,Male,Iceland,0.028999999999999998,2015,11
25+,Male,Iceland,0.027999999999999997,2015,12
25+,Male,Iceland,0.027999999999999997,2016,01
25+,Male,Iceland,0.027000000000000003,2016,02
25+,Male,Iceland,0.027000000000000003,2016,03
25+,Male,Iceland,0.025,2016,04
25+,Male,Iceland,0.024,2016,05
25+,Male,Iceland,0.023,2016,06
25+,Male,Iceland,0.023,2016,07
25+,Male,Iceland,0.023,2016,08
25+,Male,Iceland,0.023,2016,09
25+,Male,Iceland,0.055999999999999994,2020,09
25+,Male,Iceland,0.057,2020,10
25+,Male,Iceland,0.055999999999999994,2020,11
25+,Male,Iceland,0.040999999999999995,2021,09
25+,Male,Iceland,0.039,2021,10
25+,Male,Iceland,0.037000000000000005,2021,11
25+,Male,Iceland,0.034,2021,12
25+,Male,Iceland,0.032,2022,01
25+,Male,Iceland,0.031,2022,02
25+,Male,Iceland,0.03,2022,03
25+,Male,Iceland,0.03,2022,04
25+,Male,Iceland,0.03,2022,05
25+,Male,Iceland,0.031,2022,06
25+,Male,Iceland,0.031,2022,07
25+,Male,Iceland,0.031,2022,08
25+,Male,Iceland,0.032,2022,09
25+,Male,Iceland,0.032,2022,10
25+,Male,Iceland,0.032,2022,11
25+,Female,Costa Rica,0.254926,2020,06
25+,Female,Costa Rica,0.2432668,2020,07
25+,Female,Costa Rica,0.09708,2018,04
25+,Female,Costa Rica,0.086754,2018,05
25+,Female,Costa Rica,0.08084832,2018,06
25+,Female,Costa Rica,0.08150314,2018,07
25+,Female,Costa Rica,0.09359915,2018,08
25+,Female,Costa Rica,0.09172826,2018,09
25+,Female,Costa Rica,0.08497400000000001,2017,03
25+,Female,Costa Rica,0.0793171,2017,04
25+,Female,Costa Rica,0.07849754,2017,05
25+,Female,Costa Rica,0.08075254,2017,06
25+,Female,Costa Rica,0.09094005,2017,07
25+,Female,Costa Rica,0.085081,2017,08
25+,Female,Costa Rica,0.09450516,2017,09
25+,Female,Costa Rica,0.08642833,2017,10
25+,Female,Costa Rica,0.08848013,2017,11
25+,Female,Costa Rica,0.08216663,2017,12
25+,Female,Costa Rica,0.0798054,2018,01
25+,Female,Costa Rica,0.08773222,2018,02
25+,Female,Costa Rica,0.09679273999999999,2018,03
25+,Female,Costa Rica,0.08094810000000001,2014,11
25+,Female,Costa Rica,0.09078204,2014,12
25+,Female,Costa Rica,0.09610573,2015,01
25+,Female,Costa Rica,0.09392299,2015,02
25+,Female,Costa Rica,0.09060708999999999,2015,03
25+,Female,Costa Rica,0.08723302000000001,2015,04
25+,Female,Costa Rica,0.08959453,2015,05
25+,Female,Costa Rica,0.08569715,2015,06
25+,Female,Costa Rica,0.08274921,2015,07
25+,Female,Costa Rica,0.0887676,2015,08
25+,Female,Costa Rica,0.09103258,2015,09
25+,Female,Costa Rica,0.09519945,2015,10
25+,Female,Costa Rica,0.08735390000000001,2015,11
25+,Female,Costa Rica,0.08608032,2015,12
25+,Female,Costa Rica,0.0866112,2016,01
25+,Female,Costa Rica,0.08587133,2016,02
25+,Female,Costa Rica,0.07774333,2016,03
25+,Female,Costa Rica,0.08276215,2016,04
25+,Female,Costa Rica,0.08041914,2016,05
25+,Female,Costa Rica,0.07957639999999999,2016,06
25+,Female,Costa Rica,0.08022031,2016,07
25+,Female,Costa Rica,0.08921868999999999,2016,08
25+,Female,Costa Rica,0.09126353,2016,09
25+,Female,Costa Rica,0.09299092999999999,2016,10
25+,Female,Costa Rica,0.09054652,2016,11
25+,Female,Costa Rica,0.08602195,2016,12
25+,Female,Costa Rica,0.08202409,2017,01
25+,Female,Costa Rica,0.08522057,2017,02
25+,Female,Costa Rica,0.2431804,2020,08
25+,Female,Costa Rica,0.2467955,2020,09
