Country,Sex,Age,age_categories,Continent,Year,UnemploymentRate
Afghanistan,Female,15-24,Youth,Asia,2014,0.17879878589271805
Afghanistan,Total,25+,Adults,Asia,2014,0.09060141287705821
Afghanistan,Male,25+,Adults,Asia,2014,0.08643799188804427
Afghanistan,Total,15-24,Youth,Asia,2014,0.13344435789304038
Afghanistan,Female,25+,Adults,Asia,2014,0.11481640656477479
Afghanistan,Male,15-24,Youth,Asia,2014,0.12327755244567408
Albania,Total,25+,Adults,Europe,2014,0.20414193236455452
Albania,Total,15-24,Youth,Europe,2014,0.5350936098203014
Albania,Male,15-24,Youth,Europe,2014,0.584611458808993
Albania,Female,25+,Adults,Europe,2014,0.18229068736737492
Albania,Female,15-24,Youth,Europe,2014,0.4373337989201967
Albania,Male,25+,Adults,Europe,2014,0.21876762738725186
Algeria,Male,25+,Adults,Africa,2014,0.08681404281608424
Algeria,Female,15-24,Youth,Africa,2014,0.5256923366193021
Algeria,Total,15-24,Youth,Africa,2014,0.3357597571785436
Algeria,Female,25+,Adults,Africa,2014,0.1596336189529668
Algeria,Male,15-24,Youth,Africa,2014,0.30507131537242477
Algeria,Total,25+,Adults,Africa,2014,0.09865964704934327
Angola,Total,25+,Adults,Africa,2014,0.10146659861935589
Angola,Total,15-24,Youth,Africa,2014,0.23241290391898792
Angola,Male,25+,Adults,Africa,2014,0.10847726234924386
Angola,Male,15-24,Youth,Africa,2014,0.47370329581777654
Angola,Female,25+,Adults,Africa,2014,0.1532407531762873
Angola,Female,15-24,Youth,Africa,2014,0.4744822584544307
Argentina,Total,15-24,Youth,South America,2014,0.25270622364285905
Argentina,Total,25+,Adults,South America,2014,0.07001262456686992
Argentina,Male,25+,Adults,South America,2014,0.06237073249348627
Argentina,Male,15-24,Youth,South America,2014,0.22995514249644097
Argentina,Female,25+,Adults,South America,2014,0.08341615407343739
Argentina,Female,15-24,Youth,South America,2014,0.2985307153025867
Armenia,Total,15-24,Youth,Asia,2014,0.496494668135056
Armenia,Total,25+,Adults,Asia,2014,0.19859518117596497
Armenia,Male,25+,Adults,Asia,2014,0.15999623949071962
Armenia,Male,15-24,Youth,Asia,2014,0.26569341105052513
Armenia,Female,25+,Adults,Asia,2014,0.12327755244567408
Armenia,Female,15-24,Youth,Asia,2014,0.29291681216256144
Australia,Total,25+,Adults,Oceania,2014,0.06149775712482205
Australia,Total,15-24,Youth,Oceania,2014,0.1783958741841038
Australia,Male,25+,Adults,Oceania,2014,0.05937575545945366
Australia,Male,15-24,Youth,Oceania,2014,0.18919390797496577
Australia,Female,25+,Adults,Oceania,2014,0.0641166832308147
Australia,Female,15-24,Youth,Oceania,2014,0.16688602970802333
Austria,Total,15-24,Youth,Europe,2014,0.1408847941121169
