Country,Sex,Age,age_categories,Continent,Year,UnemploymentRate,latitude,longitude
Afghanistan,Female,15-24,Youth,Asia,2014,0.178798785892718,33.93911,67.709953
Afghanistan,Total,25+,Adults,Asia,2014,0.0906014128770582,33.93911,67.709953
Afghanistan,Male,25+,Adults,Asia,2014,0.0864379918880442,33.93911,67.709953
Afghanistan,Total,15-24,Youth,Asia,2014,0.1334443578930403,33.93911,67.709953
Afghanistan,Female,25+,Adults,Asia,2014,0.1148164065647747,33.93911,67.709953
Afghanistan,Male,15-24,Youth,Asia,2014,0.123277552445674,33.93911,67.709953
Albania,Total,25+,Adults,Europe,2014,0.2041419323645545,41.153332,20.168331
Albania,Total,15-24,Youth,Europe,2014,0.5350936098203014,41.153332,20.168331
Albania,Male,15-24,Youth,Europe,2014,0.584611458808993,41.153332,20.168331
Albania,Female,25+,Adults,Europe,2014,0.1822906873673749,41.153332,20.168331
Albania,Female,15-24,Youth,Europe,2014,0.4373337989201967,41.153332,20.168331
Albania,Male,25+,Adults,Europe,2014,0.2187676273872518,41.153332,20.168331
Algeria,Male,25+,Adults,Africa,2014,0.0868140428160842,28.033886,1.659626
Algeria,Female,15-24,Youth,Africa,2014,0.5256923366193021,28.033886,1.659626
Algeria,Total,15-24,Youth,Africa,2014,0.3357597571785436,28.033886,1.659626
Algeria,Female,25+,Adults,Africa,2014,0.1596336189529668,28.033886,1.659626
Algeria,Male,15-24,Youth,Africa,2014,0.3050713153724247,28.033886,1.659626
Algeria,Total,25+,Adults,Africa,2014,0.0986596470493432,28.033886,1.659626
Angola,Total,25+,Adults,Africa,2014,0.1014665986193558,-11.202692,17.873887
Angola,Total,15-24,Youth,Africa,2014,0.2324129039189879,-11.202692,17.873887
Angola,Male,25+,Adults,Africa,2014,0.1084772623492438,-11.202692,17.873887
Angola,Male,15-24,Youth,Africa,2014,0.4737032958177765,-11.202692,17.873887
Angola,Female,25+,Adults,Africa,2014,0.1532407531762873,-11.202692,17.873887
Angola,Female,15-24,Youth,Africa,2014,0.4744822584544307,-11.202692,17.873887
Argentina,Total,15-24,Youth,South America,2014,0.252706223642859,-38.416097,-63.616672
Argentina,Total,25+,Adults,South America,2014,0.0700126245668699,-38.416097,-63.616672
Argentina,Male,25+,Adults,South America,2014,0.0623707324934862,-38.416097,-63.616672
Argentina,Male,15-24,Youth,South America,2014,0.2299551424964409,-38.416097,-63.616672
Argentina,Female,25+,Adults,South America,2014,0.0834161540734373,-38.416097,-63.616672
Argentina,Female,15-24,Youth,South America,2014,0.2985307153025867,-38.416097,-63.616672
Armenia,Total,15-24,Youth,Asia,2014,0.496494668135056,40.069099,45.038189
Armenia,Total,25+,Adults,Asia,2014,0.1985951811759649,40.069099,45.038189
Armenia,Male,25+,Adults,Asia,2014,0.1599962394907196,40.069099,45.038189
Armenia,Male,15-24,Youth,Asia,2014,0.2656934110505251,40.069099,45.038189
Armenia,Female,25+,Adults,Asia,2014,0.123277552445674,40.069099,45.038189
Armenia,Female,15-24,Youth,Asia,2014,0.2929168121625614,40.069099,45.038189
Australia,Total,25+,Adults,Oceania,2014,0.061497757124822,-25.274398,133.775136
Australia,Total,15-24,Youth,Oceania,2014,0.1783958741841038,-25.274398,133.775136
Australia,Male,25+,Adults,Oceania,2014,0.0593757554594536,-25.274398,133.775136
Australia,Male,15-24,Youth,Oceania,2014,0.1891939079749657,-25.274398,133.775136
Australia,Female,25+,Adults,Oceania,2014,0.0641166832308147,-25.274398,133.775136
Australia,Female,15-24,Youth,Oceania,2014,0.1668860297080233,-25.274398,133.775136
Austria,Total,15-24,Youth,Europe,2014,0.1408847941121169,47.516231,14.550072
Austria,Total,25+,Adults,Europe,2014,0.0661043809933116,47.516231,14.550072
Austria,Female,15-24,Youth,Europe,2014,0.1350022831663488,47.516231,14.550072
Austria,Male,25+,Adults,Europe,2014,0.0687635982701657,47.516231,14.550072
Austria,Male,15-24,Youth,Europe,2014,0.1461226463241021,47.516231,14.550072
Austria,Female,25+,Adults,Europe,2014,0.0630019608369819,47.516231,14.550072
Azerbaijan,Male,25+,Adults,Asia,2014,0.0382094603669182,40.143105,47.576927
Azerbaijan,Male,15-24,Youth,Asia,2014,0.1502726369228289,40.143105,47.576927
Azerbaijan,Female,25+,Adults,Asia,2014,0.0592683123371565,40.143105,47.576927
Azerbaijan,Female,15-24,Youth,Asia,2014,0.208641113110747,40.143105,47.576927
Azerbaijan,Total,15-24,Youth,Asia,2014,0.1814848639501464,40.143105,47.576927
Azerbaijan,Total,25+,Adults,Asia,2014,0.0497327352332858,40.143105,47.576927
Bahamas,Total,15-24,Youth,North America,2014,0.2439675163626921,25.03428,-77.39628
Bahamas,Total,25+,Adults,North America,2014,0.2439675163626921,25.03428,-77.39628
Bahamas,Male,15-24,Youth,North America,2014,0.349163286685111,25.03428,-77.39628
Bahamas,Female,15-24,Youth,North America,2014,0.4544978377071638,25.03428,-77.39628
Bahamas,Female,25+,Adults,North America,2014,0.1543689059604072,25.03428,-77.39628
Bahamas,Male,25+,Adults,North America,2014,0.1347605361411802,25.03428,-77.39628
Bahrain,Female,15-24,Youth,Asia,2014,0.1684573853716189,25.930414,50.637772
Bahrain,Female,25+,Adults,Asia,2014,0.0319643288833973,25.930414,50.637772
Bahrain,Male,15-24,Youth,Asia,2014,0.0351339009911628,25.930414,50.637772
Bahrain,Male,25+,Adults,Asia,2014,0.0023906094711112,25.930414,50.637772
Bangladesh,Female,15-24,Youth,Asia,2014,0.158142845631094,23.684994,90.356331
Bangladesh,Female,25+,Adults,Asia,2014,0.0849203577855972,23.684994,90.356331
Bangladesh,Male,25+,Adults,Asia,2014,0.0199844207472669,23.684994,90.356331
Bangladesh,Total,15-24,Youth,Asia,2014,0.089034534010225,23.684994,90.356331
Bangladesh,Total,25+,Adults,Asia,2014,0.089034534010225,23.684994,90.356331
Bangladesh,Male,15-24,Youth,Asia,2014,0.1295092535389078,23.684994,90.356331
Barbados,Female,15-24,Youth,North America,2014,0.4989255687770287,13.193887,-59.543198
Barbados,Female,25+,Adults,North America,2014,0.125171237476161,13.193887,-59.543198
Barbados,Total,15-24,Youth,North America,2014,0.4531816594590239,13.193887,-59.543198
Barbados,Total,25+,Adults,North America,2014,0.1285691262188079,13.193887,-59.543198
Barbados,Male,25+,Adults,North America,2014,0.1249294904509925,13.193887,-59.543198
Barbados,Male,15-24,Youth,North America,2014,0.3833973515270354,13.193887,-59.543198
Belgium,Total,15-24,Youth,Europe,2014,0.3116253458325499,50.503887,4.469936
Belgium,Total,25+,Adults,Europe,2014,0.0968599747508662,50.503887,4.469936
Belgium,Male,25+,Adults,Europe,2014,0.1030110935023772,50.503887,4.469936
Belgium,Male,15-24,Youth,Europe,2014,0.3212683660587176,50.503887,4.469936
Belgium,Female,25+,Adults,Europe,2014,0.0894329689220768,50.503887,4.469936
Belgium,Female,15-24,Youth,Europe,2014,0.2993499691101023,50.503887,4.469936
Belize,Female,15-24,Youth,North America,2014,0.3951220822477101,17.189877,-88.49765
Belize,Male,25+,Adults,North America,2014,0.0331999247898143,17.189877,-88.49765
Belize,Female,25+,Adults,North America,2014,0.130664267103602,17.189877,-88.49765
Belize,Male,15-24,Youth,North America,2014,0.1624002793521179,17.189877,-88.49765
Belize,Total,25+,Adults,North America,2014,0.0696231432485428,17.189877,-88.49765
Belize,Total,15-24,Youth,North America,2014,0.2439093180047812,17.189877,-88.49765
Benin,Female,25+,Adults,Africa,2014,0.01677455746864,9.30769,2.315834
Benin,Male,15-24,Youth,Africa,2014,0.0525262564130113,9.30769,2.315834
Benin,Male,25+,Adults,Africa,2014,0.0142496440946573,9.30769,2.315834
Benin,Female,15-24,Youth,Africa,2014,0.0641972655725375,9.30769,2.315834
Benin,Total,25+,Adults,Africa,2014,0.0326448019912792,9.30769,2.315834
Benin,Total,15-24,Youth,Africa,2014,0.0326448019912792,9.30769,2.315834
Bhutan,Male,15-24,Youth,Asia,2014,0.1105321120631765,27.514162,90.433601
Bhutan,Female,15-24,Youth,Asia,2014,0.1316043944237019,27.514162,90.433601
Bhutan,Total,15-24,Youth,Asia,2014,0.1257487442585081,27.514162,90.433601
Bhutan,Total,25+,Adults,Asia,2014,0.023409170270488,27.514162,90.433601
Bhutan,Male,25+,Adults,Asia,2014,0.0160224556125601,27.514162,90.433601
Bhutan,Female,25+,Adults,Asia,2014,0.0328238738617744,27.514162,90.433601
Bolivia,Total,15-24,Youth,South America,2014,0.0635257460581804,-16.290154,-63.588653
Bolivia,Total,25+,Adults,South America,2014,0.0177818367401756,-16.290154,-63.588653
Bolivia,Male,15-24,Youth,South America,2014,0.0397808160305138,-16.290154,-63.588653
Bolivia,Female,15-24,Youth,South America,2014,0.0926562625909909,-16.290154,-63.588653
Bolivia,Female,25+,Adults,South America,2014,0.0241209809557065,-16.290154,-63.588653
Bolivia,Male,25+,Adults,South America,2014,0.0118993257944075,-16.290154,-63.588653
Bosnia and Herzegovina,Total,25+,Adults,Europe,2014,0.3148217787208896,43.915886,17.679076
Bosnia and Herzegovina,Total,15-24,Youth,Europe,2014,0.8411722044642618,43.915886,17.679076
Bosnia and Herzegovina,Female,15-24,Youth,Europe,2014,0.8825512369389454,43.915886,17.679076
Bosnia and Herzegovina,Female,25+,Adults,Europe,2014,0.368959681968358,43.915886,17.679076
Bosnia and Herzegovina,Male,15-24,Youth,Europe,2014,0.8301458540385184,43.915886,17.679076
Bosnia and Herzegovina,Male,25+,Adults,Europe,2014,0.2851137554057321,43.915886,17.679076
Botswana,Female,15-24,Youth,Africa,2014,0.5205350667490397,-22.328474,24.684866
Botswana,Female,25+,Adults,Africa,2014,0.2353272986112976,-22.328474,24.684866
Botswana,Male,15-24,Youth,Africa,2014,0.4200220258400709,-22.328474,24.684866
Botswana,Male,25+,Adults,Africa,2014,0.1657310161433291,-22.328474,24.684866
Botswana,Total,15-24,Youth,Africa,2014,0.3066605782230698,-22.328474,24.684866
Botswana,Total,25+,Adults,Africa,2014,0.3066605782230698,-22.328474,24.684866
Brazil,Total,15-24,Youth,South America,2014,0.2065325418356657,-14.235004,-51.92528
Brazil,Total,25+,Adults,South America,2014,0.0629079481049719,-14.235004,-51.92528
Brazil,Male,15-24,Youth,South America,2014,0.1736549464127427,-14.235004,-51.92528
Brazil,Female,15-24,Youth,South America,2014,0.2532165784737704,-14.235004,-51.92528
Brazil,Female,25+,Adults,South America,2014,0.0784066184963335,-14.235004,-51.92528
Brazil,Male,25+,Adults,South America,2014,0.0518278761180799,-14.235004,-51.92528
Brunei,Total,15-24,Youth,Asia,2014,0.3390636331891805,4.535277,114.727669
Brunei,Female,25+,Adults,Asia,2014,0.0620886942974562,4.535277,114.727669
Brunei,Male,15-24,Youth,Asia,2014,0.3091138628488544,4.535277,114.727669
Brunei,Male,25+,Adults,Asia,2014,0.0451664025356576,4.535277,114.727669
Brunei,Total,25+,Adults,Asia,2014,0.0540976120766069,4.535277,114.727669
Brunei,Female,15-24,Youth,Asia,2014,0.3509360982030138,4.535277,114.727669
Bulgaria,Male,25+,Adults,Europe,2014,0.1542480324478229,42.733883,25.48583
Bulgaria,Total,15-24,Youth,Europe,2014,0.3189449085390421,42.733883,25.48583
Bulgaria,Total,25+,Adults,Europe,2014,0.1425635928980096,42.733883,25.48583
Bulgaria,Female,15-24,Youth,Europe,2014,0.318649439952725,42.733883,25.48583
Bulgaria,Female,25+,Adults,Europe,2014,0.129710709393215,42.733883,25.48583
Bulgaria,Male,15-24,Youth,Europe,2014,0.3196164280533992,42.733883,25.48583
Burkina Faso,Male,25+,Adults,Africa,2014,0.041123855059228,12.238333,-1.561593
Burkina Faso,Female,25+,Adults,Africa,2014,0.0445486045824491,12.238333,-1.561593
Burkina Faso,Male,15-24,Youth,Africa,2014,0.089258373848344,12.238333,-1.561593
Burkina Faso,Total,25+,Adults,Africa,2014,0.0759488570737865,12.238333,-1.561593
Burkina Faso,Total,15-24,Youth,Africa,2014,0.1164414837895189,12.238333,-1.561593
Burkina Faso,Female,15-24,Youth,Africa,2014,0.0999221037363345,12.238333,-1.561593
Burundi,Total,15-24,Youth,Africa,2014,0.0390555749550081,-3.373056,29.918886
Burundi,Total,25+,Adults,Africa,2014,0.0153240753176287,-3.373056,29.918886
Burundi,Male,15-24,Youth,Africa,2014,0.0555883853984796,-3.373056,29.918886
Burundi,Male,25+,Adults,Africa,2014,0.0189099895242955,-3.373056,29.918886
Burundi,Female,15-24,Youth,Africa,2014,0.025396868032985,-3.373056,29.918886
Burundi,Female,25+,Adults,Africa,2014,0.0118053130623975,-3.373056,29.918886
Cabo Verde,Male,25+,Adults,Africa,2014,0.106126944048994,,
Cabo Verde,Male,15-24,Youth,Africa,2014,0.334846490639018,,
Cabo Verde,Female,25+,Adults,Africa,2014,0.1072550968331139,,
Cabo Verde,Female,15-24,Youth,Africa,2014,0.3806038303473099,,
Cabo Verde,Total,15-24,Youth,Africa,2014,0.2073316500577507,,
Cabo Verde,Total,25+,Adults,Africa,2014,0.2073316500577507,,
Cambodia,Male,25+,Adults,Asia,2014,0.0071449676327594,12.565679,104.990963
Cambodia,Male,15-24,Youth,Asia,2014,0.0148540116575787,12.565679,104.990963
Cambodia,Female,25+,Adults,Asia,2014,0.0073732842676408,12.565679,104.990963
Cambodia,Total,15-24,Youth,Asia,2014,0.0136721373123102,12.565679,104.990963
Cambodia,Total,25+,Adults,Asia,2014,0.0070643852910365,12.565679,104.990963
Cambodia,Female,15-24,Youth,Asia,2014,0.0131886432619731,12.565679,104.990963
Cameroon,Male,25+,Adults,Africa,2014,0.0295468586317118,7.369722,12.354722
Cameroon,Male,15-24,Youth,Africa,2014,0.0762980472212522,7.369722,12.354722
Cameroon,Female,25+,Adults,Africa,2014,0.0430309704800021,7.369722,12.354722
Cameroon,Female,15-24,Youth,Africa,2014,0.0899970453141368,7.369722,12.354722
Cameroon,Total,15-24,Youth,Africa,2014,0.0840608128072201,7.369722,12.354722
Cameroon,Total,25+,Adults,Africa,2014,0.0365575223615998,7.369722,12.354722
Canada,Total,15-24,Youth,North America,2014,0.1770528351553896,56.130366,-106.346771
Canada,Total,25+,Adults,North America,2014,0.0791721507427005,56.130366,-106.346771
Canada,Female,15-24,Youth,North America,2014,0.1540197158129415,56.130366,-106.346771
Canada,Female,25+,Adults,North America,2014,0.0747266915576566,56.130366,-106.346771
Canada,Male,15-24,Youth,North America,2014,0.1997636251309463,56.130366,-106.346771
Canada,Male,25+,Adults,North America,2014,0.0833892932928631,56.130366,-106.346771
Central African Republic,Male,15-24,Youth,Africa,2014,0.1270917832872223,6.611111,20.939444
Central African Republic,Male,25+,Adults,Africa,2014,0.0453812887802519,6.611111,20.939444
Central African Republic,Female,25+,Adults,Africa,2014,0.0606113513658706,6.611111,20.939444
Central African Republic,Female,15-24,Youth,Africa,2014,0.1548524000107443,6.611111,20.939444
Chad,Male,15-24,Youth,Africa,2014,0.025772918961025,15.454166,18.732207
Chad,Male,25+,Adults,Africa,2014,0.0108920465228719,15.454166,18.732207
Chad,Female,15-24,Youth,Africa,2014,0.0075747401219479,15.454166,18.732207
Chad,Total,25+,Adults,Africa,2014,0.0122529927386356,15.454166,18.732207
